param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
relu,1,64,"(10, 10)",adaptive,"{'activation': 'relu', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8816345452334631,29,0.8532266001721266,1,0.867009338246802,1,0.8647971325308516,1,0.8648030915612841,1,0.9300456639702389,1
relu,1,64,"(10, 10)",constant,"{'activation': 'relu', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8816345452334631,29,0.8532266001721266,1,0.867009338246802,1,0.8647971325308516,1,0.8648030915612841,1,0.9300456639702389,1
relu,1,16,"(10, 10)",adaptive,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8770072729207199,41,0.8432305458769026,9,0.8595776198298855,19,0.8566388680304307,13,0.8566386300766051,13,0.9286226722123443,3
relu,1,16,"(10, 10)",constant,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8770072729207199,41,0.8432305458769026,9,0.8595776198298855,19,0.8566388680304307,13,0.8566386300766051,13,0.9286226722123443,3
tanh,0.001,64,"(10, 10)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8794344297178989,33,0.836333531401908,23,0.857250430736567,33,0.8534698045372835,33,0.8534619520610409,33,0.9270506932767245,5
tanh,0.001,64,"(10, 10)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8794344297178989,33,0.836333531401908,23,0.857250430736567,33,0.8534698045372835,33,0.8534619520610409,33,0.9270506932767245,5
tanh,1,64,"(10, 10)",constant,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8869828398589494,17,0.8414205135405386,11,0.8634718267788131,5,0.8596813586061999,3,0.8596718636004378,3,0.92583779500766,7
tanh,1,64,"(10, 10)",adaptive,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8869828398589494,17,0.8414205135405386,11,0.8634718267788131,5,0.8596813586061999,3,0.8596718636004378,3,0.92583779500766,7
relu,1,16,"(10,)",constant,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8823631672543775,25,0.8378665726355554,21,0.8593899187354104,21,0.8556620759096184,21,0.8556606426313229,21,0.9255022693704438,9
relu,1,16,"(10,)",adaptive,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8823631672543775,25,0.8378665726355554,21,0.8593899187354104,21,0.8556620759096184,21,0.8556606426313229,21,0.9255022693704438,9
